Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon,Source_Type,PM25_Filled,SO2_Filled,NOx_Filled,Exceedance_Flag
E00001,PL-01,S-01,2033.5,2025-01-01 00:00:00,166.47,116.47,100.88,ug/m3,FAULT,"13.083,80.2702",Stack,False,False,False,EXCEEDANCE
E00002,PL-01,S-02,3377.9,2025-01-01 00:00:00,0.82,95.92,32.04,ug/m3,MAINT,"13.0839,80.2721",Stack,False,False,False,OK
E00003,PL-02,S-01,3798.4,2025-01-01 00:00:00,273.8,160.38,267.0,ug/m3,FAULT,"19.0763,72.8777",Stack,False,True,False,EXCEEDANCE
E00004,PL-03,S-01,3121.2,2025-01-01 00:00:00,106.36,133.0,90.91,ug/m3,OK,"12.9719,77.5955",Stack,False,False,False,OK
E00005,PL-03,S-02,3700.5,2025-01-01 00:00:00,273.8,275.7,267.0,ug/m3,FAULT,"12.9722,77.5941",Stack,False,False,False,EXCEEDANCE
E00006,PL-03,S-03,1117.8,2025-01-01 00:00:00,195.45,48.12,110.5,ug/m3,FAULT,"12.9726,77.5939",Stack,False,False,False,EXCEEDANCE
E00007,LOC-DEL-01,A-01,0.0,2025-01-01 00:00:00,111.8,206.9,132.7,ug/m3,FAULT,"28.6138,77.2087",Ambient,False,False,False,EXCEEDANCE
E00008,LOC-DEL-02,A-02,,2025-01-01 00:00:00,189.7,160.81,148.69,ug/m3,OK,"28.6209,77.2149",Ambient,False,False,False,EXCEEDANCE
E00009,LOC-MUM-01,A-01,0.0,2025-01-01 00:00:00,192.75,78.53,122.16,ug/m3,FAULT,"19.0757,72.877",Ambient,False,False,False,EXCEEDANCE
E00010,LOC-BLR-01,A-01,,2025-01-01 00:00:00,128.6,198.1,125.7,ug/m3,OK,"12.9717,77.5954",Ambient,False,False,False,EXCEEDANCE
E00011,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00012,PL-01,S-02,4877.2,2025-01-01 00:15:00,134.9,107.65,119.69,ug/m3,MAINT,"13.0821,80.2716",Stack,False,False,False,OK
E00013,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00014,PL-03,S-01,1537.3,2025-01-01 00:15:00,92.91,185.55,267.0,ug/m3,MAINT,"12.9722,77.5944",Stack,False,False,False,OK
E00015,PL-03,S-02,2640.2,2025-01-01 00:15:00,70.0,93.2,110.0,ug/m3,MAINT,"12.9729,77.5953",Stack,False,False,False,OK
E00016,PL-03,S-03,4669.4,2025-01-01 00:15:00,170.4,185.35,82.48,ug/m3,FAULT,"12.9721,77.5956",Stack,False,False,False,EXCEEDANCE
E00017,LOC-DEL-01,A-01,0.0,2025-01-01 00:15:00,188.6,130.5,20.2,ug/m3,OK,"28.6139,77.209",Ambient,False,False,False,EXCEEDANCE
E00018,LOC-DEL-02,A-02,,2025-01-01 00:15:00,231.75,91.52,146.57,ug/m3,MAINT,"28.6193,77.2145",Ambient,True,False,False,EXCEEDANCE
E00019,LOC-MUM-01,A-01,0.0,2025-01-01 00:15:00,174.12,119.9,101.96,ug/m3,OK,"19.0766,72.8775",Ambient,False,False,False,EXCEEDANCE
E00020,LOC-BLR-01,A-01,0.0,2025-01-01 00:15:00,273.8,275.7,267.0,ug/m3,FAULT,"12.9706,77.5953",Ambient,False,False,False,EXCEEDANCE
E00021,PL-01,S-01,2886.7,2025-01-01 00:30:00,273.8,1960.29,267.0,ug/m3,FAULT,"13.0822,80.2706",Stack,False,False,False,EXCEEDANCE
E00022,PL-01,S-02,3271.6,2025-01-01 00:30:00,166.43,111.84,87.14,ug/m3,FAULT,"13.083,80.2712",Stack,False,False,False,EXCEEDANCE
E00023,PL-02,S-01,3144.3,2025-01-01 00:30:00,141.05,275.7,171.52,ug/m3,FAULT,"19.0766,72.8782",Stack,False,False,False,EXCEEDANCE
E00024,PL-03,S-01,4745.4,2025-01-01 00:30:00,183.18,155.96666666666667,57.55,ug/m3,FAULT,"12.9712,77.5945",Stack,False,True,False,EXCEEDANCE
E00025,PL-03,S-02,1909.6,2025-01-01 00:30:00,97.1,151.2,47.8,ug/m3,FAULT,"12.9723,77.5954",Stack,False,False,False,OK
E00026,PL-03,S-03,1075.1,2025-01-01 00:30:00,78.81,49.31,137.13,ug/m3,OK,"12.9715,77.5953",Stack,False,False,False,OK
E00027,LOC-DEL-01,A-01,0.0,2025-01-01 00:30:00,81.6,132.2,185.3,ug/m3,FAULT,"28.6146,77.2088",Ambient,False,True,False,EXCEEDANCE
E00028,LOC-DEL-02,A-02,,2025-01-01 00:30:00,273.8,1010.1,267.0,ug/m3,OK,"28.6202,77.2154",Ambient,False,False,False,EXCEEDANCE
E00029,LOC-MUM-01,A-01,0.0,2025-01-01 00:30:00,181.9875,120.2,14.8,ug/m3,FAULT,"19.0763,72.8778",Ambient,True,False,False,EXCEEDANCE
E00030,LOC-BLR-01,A-01,,2025-01-01 00:30:00,34.4,128.6,102.6,ug/m3,OK,"12.9708,77.5941",Ambient,False,False,False,EXCEEDANCE
E00031,PL-01,S-01,3032.4,2025-01-01 00:45:00,108.63,184.02,161.18,ug/m3,OK,"13.0837,80.2716",Stack,False,False,False,OK
E00032,PL-01,S-02,4283.8,2025-01-01 00:45:00,172.45,274.39,2.35,ug/m3,OK,"13.084,80.2714",Stack,False,False,False,EXCEEDANCE
E00033,PL-02,S-01,3282.6,2025-01-01 00:45:00,105.71,160.38,122.38,ug/m3,OK,"19.0756,72.8774",Stack,False,False,False,OK
E00034,PL-03,S-01,3337.1,2025-01-01 00:45:00,165.0,167.45,148.27,ug/m3,OK,"12.971,77.5949",Stack,False,False,False,EXCEEDANCE
E00035,PL-03,S-02,1909.8,2025-01-01 00:45:00,273.8,138.9,166.0,ug/m3,FAULT,"12.9727,77.5945",Stack,False,False,False,EXCEEDANCE
