Record_ID,Plant_ID,TS,PM2.5,SO2,NOx,Unit,"Lat,Lon",Status
E20000,PL-08,2026-01-01 00:00+05:30,73.1,18.7,25.4,ug/m³,"13.2214,81.4807",Ok
E20001,PL-01,2026-01-01 00:10,73.1,26.2,49.9,ug/m3,"12.6208,79.5575", ok
E20002,PL-10,2026-01-01 00:20,83.0,26.1,45.5,UG/m3,"12.727,81.2451",MAINTENANCE
E20003,PL-17,2026-01-01 00:30,64.5,31.0,49.9,ug/m3,"13.5187,81.0188",Maint
E20004,PL-11,2026-01-01 00:40,82.1,22.0,51.9,µg/m³,"13.2038,80.0315",OK
E20005,PL-11,01-01-2026 00:50,56.8,35.6,65.7,ug/m3,"13.7223,80.9267", FAULT
E20006,PL-10,2026-01-01 01:00,46.6,35.0,650.1,mg/nm3,"13.1272,81.2341", maint 
E20007,PL-05,2026-01-01 01:10,74.6,27.6,60.5,mg/nm3,"12.9011,80.1421",maint
E20008,PL-13,2026-01-01 01:20,75.2,30.7,67.5,Ug/M3,"14.3153,79.9635", FAULT
E20009,PL-20,2026-01-01 01:30,82.3,34.2,60.6,mg/nm3,"13.5886,79.5058", ok
E20010,PL-04,2026-01-01 01:40,-4.11,27.9,37.4,UG/M3,"13.9614,79.7068",fault
E20011,PL-12,2026-01-01 01:50,80.7,23.7,57.4,Ug/M3,"12.7015,79.8977",MAINT
E20012,PL-11,2026-01-01 02:00,97.4,26.6,81.7,UG/M3,"14.2774,81.207",MAINTENANCE
E20013,PL-05,2026-01-01 02:10,63.5,28.5,57.5,MG/NM3,"13.6432,79.5181",FAULT
E20014,PL-10,2026-01-01 02:20,92.7,39.1,65.6,mg/Nm3,"14.095,79.2735",ok 
E20015,PL-19,2026-01-01 02:30,-100.4,468.3,68.4,MG/NM3,"13.024,80.3175", ok
E20016,PL-17,2026-01-01 02:40,95.0,29.2,58.2,MG/NM3,"13.7222,80.6974",MAINT
E20017,PL-20,2026-01-01 02:50,102.8,27.2,1316.5,mg/nm3,"14.2234,81.123",maint
E20018,PL-12,2026-01-01 03:00,100.5,34.2,54.7,µg/m³,"14.4999,80.1747",FAULT
E20019,PL-14,01-01-2026 24:10,117.0,35.1,62.5,µg/m³,"13.8565,79.0749",ok 
E20020,PL-13,2026-01-01 03:20,93.8,29.2,65.7,UG/M3,"13.0839,80.4438",FAULT
E20021,PL-03,2026-01-01 03:30,106.1,30.1,85.8,mg/Nm3,"13.0551,80.8996",Ok
E20022,PL-15,2026-01-01 03:40 UTC,124.9,30.7,34.0,mg/Nm3,"12.5498,79.5978",MAINT
E20023,PL-04,2026-01-01 03:50,148.9,25.3,82.3,MG/NM3,"12.5551,79.2155",FAULT
E20024,PL-04,2026-01-01 24:30,97.0,32.9,70.8,ug/m³,"13.8926,80.0403",MAINT
E20025,PL-16,2026-01-01 04:10,118.2,31.0,83.9,Ug/M3,"13.0119,80.4063", FAULT
E20026,PL-15,2026-01-01 04:20,106.4,34.4,67.4,µg/m³,"13.8773,81.0743",MAINTENANCE
E20027,PL-15,2026-01-01 04:30,85.5,,71.3,UG/m3,"13.3806,80.8739",OK
E20028,PL-10,2026-01-01 04:40,83.4,43.2,-71.5,mg/Nm3,"14.4965,79.5222",MAINT
E20029,PL-18,2026-01-01 04:50,112.3,34.4,85.7,Ug/M3,"13.2521,80.21",OK
E20030,PL-03,2026-01-01 05:00,88.1,30.6,75.0,ug/m³,"13.8158,80.9097",MAINT
E20031,PL-11,2026-01-01 05:10,1169.7,31.6,,µg/m³,"12.8893,79.3652",Ok
E20032,PL-04,2026-01-01 05:20,108.0,27.7,85.0,MG/NM3,"12.8918,80.5906",ok 
E20033,PL-05,2026-01-01 05:30,139.0,35.8,68.4,UG/m3,"12.7758,81.0863",Fault
E20034,PL-08,2026-01-01 05:40,104.6,32.5,80.6,ug/m³,"12.8798,81.321",maintenance
E20035,PL-06,2026-01-01 05:50 UTC,96.5,32.9,87.4,ug/m³,"13.4607,79.3412",ok
E20036,PL-11,2026-01-01 06:00,93.2,32.7,79.4,ug/m³,"13.7631,79.121",MAINTENANCE
E20037,PL-04,2026-01-01 06:10,82.1,39.7,72.2,MG/NM3,"14.1576,79.5316",FAULT
E20038,PL-15,2026-01-01 06:20,120.7,35.0,81.7,mg/nm3,"13.9018,79.8799",maint
E20039,PL-08,2026-01-01 06:30,126.5,,78.5,Ug/M3,"13.4158,79.0395",maint
E20040,PL-14,2026-01-01 24:40,88.5,34.1,72.8,µg/m³,"13.9341,79.5998",ok
E20041,PL-12,2026-01-01 06:50,90.0,34.0,71.8,ug/m3,"12.8572,81.0918",ok 
E20042,PL-01,2026-01-01 07:00+05:30,109.8,37.2,80.9,Ug/M3,"13.2753,79.8156",MAINT
E20043,PL-04,2026-01-01 07:10,140.6,37.0,79.1,µg/m³,"14.1366,79.4603",maint
E20044,PL-06,01-01-2026 07:20,2239.5,26.9,83.6,UG/M3,"13.415,80.987", maint 
E20045,PL-08,2026-01-01 07:30,109.6,43.4,76.9,UG/m3,"14.1783,79.2185",ok
E20046,PL-07,2026-01-01 07:40,119.3,35.0,88.4,ug/m3,"13.7519,80.898",maint
E20047,PL-08,2026-01-01 07:50,143.4,24.6,89.1,ug/m3,"13.4191,79.3321",Ok
E20048,PL-03,2026-01-01 08:00,130.4,38.2,82.9,µg/m³,"13.1918,79.0046",ok 
E20049,PL-12,2026-01-01 08:10,116.8,25.2,67.1,Ug/M3,"13.0423,80.1049",UNKNOWN
E20050,PL-19,2026-01-01 08:20,104.0,30.5,,UG/M3,"14.4338,81.1206",fault
E20051,PL-15,2026-01-01 08:30,96.7,41.1,73.4,mg/Nm3,"14.4328,81.1979",Fault
E20052,PL-20,01-01-2026 24:40,115.7,17252.9,77.2,Ug/M3,"13.9529,80.4054",maintenance
E20053,PL-08,2026-01-01 08:50,104.1,39.2,75.6,mg/Nm3,"14.3204,80.3238",ok
E20054,PL-05,2026-01-01 09:00,87.5,24.7,-58.1,mg/nm3,"13.7728,80.6103",maintenance
E20055,PL-12,2026-01-01 09:10 UTC,107.1,34.3,76.2,ug/m3,"13.7061,79.2864",maint
E20056,PL-08,2026-01-01 09:20,96.2,33.6,,ug/m³,"13.1334,80.3985",MAINT
E20057,PL-20,2026-01-01 09:30,118.4,35.4,80.9,ug/m³,"14.1835,79.9432",MAINT
E20058,PL-14,2026-01-01 09:40,116.4,35.6,64.7,Ug/M3,"14.4069,81.3948",Ok
E20059,PL-17,2026-01-01 09:50,96.2,38.1,71.2,mg/Nm3,"12.7185,81.4687",fault
E20060,PL-20,2026-01-01 10:00,87.1,29.7,69.9,µg/m³,"14.0033,80.6858",Fault
E20061,PL-13,2026-01-01 10:10,108.6,33.3,61.9,mg/nm3,"13.676,80.3211",MAINTENANCE
E20062,PL-18,2026-01-01 10:20,96.9,30.0,63.9,UG/M3,"13.096,81.4586",FAULT
E20063,PL-08,2026-01-01 10:30,99.6,29.2,51.4,MG/NM3,"14.065,81.3429",fault
E20064,PL-08,2026-01-01 10:40,70.7,29.7,71.5,MG/NM3,"12.6253,79.2828",OK
E20065,PL-02,2026-01-01 10:50,86.8,26.4,61.0,mg/nm3,"12.7011,79.6954",Ok
E20066,PL-20,2026-01-01 11:00,92.7,23.5,72.1,mg/nm3,"13.5663,79.1642", ok
E20067,PL-02,2026-01-01 24:50,82.4,30.6,46.5,UG/M3,"13.8625,79.3384", ok
E20068,PL-14,2026-01-01 11:20,58.3,26.3,65.1,UG/M3,"14.1715,80.2486",ok
E20069,PL-14,2026-01-01 24:20,100.4,30.7,70.9,MG/NM3,"14.3746,80.3729",FAULT
E20070,PL-17,2026-01-01 11:40,76.0,20.6,67.2,ug/m³,"14.3913,79.9973",maint
E20071,PL-05,2026-01-01 11:50,82.6,30.5,62.8,UG/M3,"14.3469,-126.4280709420869",ok 
E20072,PL-19,2026-01-01 12:00,86.1,21.8,40.8,mg/Nm3,"12.6981,79.451",ok 
E20073,PL-10,2026-01-01 12:10,91.8,26.9,41.8,mg/nm3,"13.1645,80.1488", FAULT
E20074,PL-14,2026-01-01 12:20,69.4,20.2,44.4,UG/M3,"13.5599,80.6784", FAULT
E20075,PL-13,2026-01-01 12:30,56.7,42.1,58.5,ug/m³,"14.1593,79.5263",fault
E20076,PL-04,2026-01-01 12:40,53.7,38.1,52.3,mg/nm3,"12.5684,80.6384",Maint
E20077,PL-01,2026-01-01 12:50,70.4,26.3,48.3,mg/Nm3,"14.3857,81.1278",Maint
E20078,PL-11,2026-01-01 13:00,78.5,25.3,,ug/m³,"14.1737,79.1013",fault
E20079,PL-05,2026-01-01 13:10,53.4,25.6,47.0,UG/M3,"12.5252,81.3855",FAULT
E20080,PL-01,2026-01-01 13:20,33.5,24.9,46.6,ug/m³,"13.0009,80.3052",MAINT
E20081,PL-05,2026-01-01 13:30,70.8,17.7,42.4,mg/Nm3,"12.6388,79.4522",ok
E20082,PL-20,2026-01-01 13:40,50.3,19.6,38.4,UG/m3,"13.9499,80.429",OK
E20083,PL-06,2026-01-01 13:50,93.1,-16.76,52.1,Ug/M3,"14.4305,79.4306",ok
E20084,PL-02,2026-01-01 14:00,43.8,10.9,41.9,µg/m³,"12.9895,81.2935",maintenance
E20085,PL-03,2026-01-01 14:10,41.4,20.6,31.6,UG/m3,"13.1178,79.6282", FAULT
E20086,PL-19,2026-01-01 14:20,32.6,30.6,40.8,ug/m³,"14.2154,79.9996",ok 
E20087,PL-03,2026-01-01 14:30,68.3,9.6,35.5,MG/NM3,"13.0788,79.3596",maintenance
E20088,PL-20,01-01-2026 14:40,48.2,15.0,28.1,mg/nm3,"12.7567,80.4718",OK
E20089,PL-04,2026-01-01 14:50,48.3,24.4,26.0,mg/nm3,"14.15,80.5444",ok
E20090,PL-02,2026-01-01 15:00,34.7,11.2,29.9,mg/nm3,"14.091,80.0113",Maint
E20091,PL-15,2026-01-01 15:10,-52.6,15.6,42.8,mg/nm3,"13.0183,80.4642",maintenance
E20092,PL-03,2026-01-01 15:20,66.4,27.2,20.8,ug/m3,"12.6184,79.5824",Ok
E20093,PL-05,2026-01-01 15:30 UTC,76.2,20.4,26.0,UG/M3,"12.5643,81.0975", FAULT
E20094,PL-20,2026-01-01 15:40,29.1,12.7,,mg/Nm3,"13.5315,80.779",MAINTENANCE
E20095,PL-04,2026-01-01 15:50,28.8,21.9,41.4,UG/M3,"13.5912,80.3874", OK 
E20096,PL-19,2026-01-01 16:00,48.5,24.2,41.5,Ug/M3,"13.3073,79.6169",ok 
E20097,PL-15,2026-01-01 16:10,13.2,7.5,30.0,UG/M3,"13.7382,79.4709", maint 
E20098,PL-13,2026-01-01 16:20,35.5,12.4,15.8,µg/m³,"14.1905,80.6465",FAULT
E20099,PL-18,2026-01-01 16:30,24.3,15.3,7.8,ug/m³,"14.3222,81.2808",ok
E20100,PL-20,2026-01-01 16:40,4.1,17.6,39.1,ug/m3,"13.9992,79.2993",Ok
E20101,PL-20,2026-01-01 16:50,39.6,10.6,30.2,mg/Nm3,"14.2538,81.2292",MAINTENANCE
E20102,PL-05,2026-01-01 17:00,18.2,15.6,19.0,mg/Nm3,"13.5036,79.6164",maint
E20103,PL-14,2026-01-01 17:10,31.5,18.9,25.6,UG/M3,"12.6018,81.1706",fault
E20104,PL-15,2026-01-01 17:20 UTC,39.2,16.5,-24.1,µg/m³,"13.5887,80.2812", FAULT
E20105,PL-03,2026-01-01 17:30,48.5,8.8,0.0,mg/nm3,"13.5664,79.7445",Ok
E20106,PL-09,2026-01-01 17:40,47.8,20.0,13.0,ug/m3,"14.4293,81.1082",FAULT
E20107,PL-01,2026-01-01 17:50,35.9,18.7,21.4,Ug/M3,"14.1711,81.4715",Maint
E20108,PL-20,2026-01-01 18:00,34.6,37872.4,21.2,MG/NM3,"13.2041,79.5841",maint
E20109,PL-20,2026-01-01 18:10,27.4,18.8,36.6,UG/m3,"13.3449,80.735",Fault
E20110,PL-18,2026-01-01 18:20,10.4,15.6,9.3,UG/M3,"12.7811,79.7048",ok 
E20111,PL-07,2026-01-01 18:30,43.7,14.1,38.1,mg/Nm3,"13.4932,80.972",fault
E20112,PL-10,2026-01-01 18:40,38.2,19.3,21.7,µg/m³,"12.892,80.1897",Fault
E20113,PL-19,2026-01-01 18:50,27.3,13.1,5.8,µg/m³,"12.6017,79.2232",FAULT
E20114,PL-01,2026-01-01 19:00,19.0,16.5,20.5,UG/M3,"13.5059,79.0782", OK 
E20115,PL-16,2026-01-01 19:10,26.9,19.8,26.8,Ug/M3,"13.7314,79.0674",ok
E20116,PL-06,2026-01-01 19:20,17.6,14.6,12.7,mg/Nm3,"14.4402,79.8138", OK 
E20117,PL-04,2026-01-01 19:30,13.4,10.0,21.9,UG/m3,"14.4644,81.4828",ok
E20118,PL-01,2026-01-01 19:40,37.4,18.3,5.9,MG/NM3,"13.0056,80.1419",maintenance
E20119,PL-06,2026-01-01 19:50,14.6,14.1,30.0,Ug/M3,"14.1808,80.7678",fault
E20120,PL-07,2026-01-01 20:00,21.6,15.8,31.4,MG/NM3,"12.945,80.6672",ok
E20121,PL-15,2026-01-01 20:10,20.1,17.4,28.3,mg/nm3,"14.4141,81.1748",MAINTENANCE
E20122,PL-10,2026-01-01 20:20,22.7,22.2,30.7,ug/m3,"14.4713,81.3626",MAINT
E20123,PL-17,2026-01-01 20:30,15.0,,8.7,UG/m3,"12.6306,79.3422", FAULT
E20124,PL-02,2026-01-01 20:40,38.1,,42.5,ug/m3,"14.0795,79.8681",OK
E20125,PL-09,2026-01-01 20:50,-43.6,22.7,27.4,Ug/M3,"13.3901,79.279",MAINTENANCE
E20126,PL-14,2026-01-01 21:00,24.2,20.8,35.0,µg/m³,"12.9763,79.9402",FAULT
E20127,PL-19,01-01-2026 21:10,34.2,15.7,17.3,ug/m3,"13.743,80.2194",FAULT
E20128,PL-19,2026-01-01 21:20,39.2,8.6,31.1,mg/nm3,"13.4689,80.5559", OK 
E20129,PL-20,2026-01-01 21:30,43.2,15.9,19.9,mg/Nm3,"13.0619,79.6539",Ok
E20130,PL-06,2026-01-01 21:40,22.4,23.0,24.2,mg/nm3,"14.3637,81.1932",Fault
E20131,PL-17,2026-01-01 21:50,47.3,15.6,29.2,MG/NM3,"13.2923,80.0992", OK 
E20132,PL-13,2026-01-01 22:00,64.2,23.9,35.1,UG/M3,"13.1178,79.5544", OK 
E20133,PL-20,2026-01-01 22:10,71.2,16.2,11.8,mg/nm3,"14.2653,79.2131", maint 
E20134,PL-14,01-01-2026 22:20,50.7,25.2,26.3,MG/NM3,"13.6207,79.6626",MAINTENANCE
E20135,PL-03,2026-01-01 22:30,57.4,23.8,23.6,Ug/M3,"14.1819,79.5701",Fault
E20136,PL-06,01-01-2026 22:40 UTC,53.8,21.6,23.6,mg/nm3,"14.1202,79.8674",maintenance
E20137,PL-08,2026-01-01 22:50,32.0,22.3,43.3,mg/nm3,"14.4679,80.1605",maintenance
E20138,PL-17,01-01-2026 23:00,60.9,25.4,51.2,UG/m3,"13.4196,80.9702",Maint
E20139,PL-19,2026-01-01 23:10,43.4,21.9,17.6,ug/m³,"14.3899,80.322",FAULT
E20140,PL-18,2026-01-01 23:20,80.8,29.2,37.1,UG/M3,"14.4246,79.369",MAINTENANCE
E20141,PL-13,2026-01-01 23:30,53.4,19.7,38.3,Ug/M3,"13.6052,80.2066",ok
E20142,PL-10,2026-01-01 23:40,47.3,24.7,47.3,UG/m3,"12.8227,81.2116",maintenance
E20143,PL-04,2026-01-01 23:50,61.0,21.9,49.4,MG/NM3,"13.5175,79.1429", OK 
E20144,PL-19,2026-01-02 00:00,54.0,22.2,53.5,UG/M3,"14.4633,79.5406", OK 
E20145,PL-08,2026-01-02 00:10,56.4,19.0,56.8,Ug/M3,"12.7781,79.6132",Maint
E20146,PL-19,2026-01-02 00:20,55.8,,30.9,UG/m3,"12.7388,81.2055",Ok
E20147,PL-19,2026-01-02 00:30,57.0,24.9,49.8,µg/m³,"12.9204,80.0994", maint 
E20148,PL-01,2026-01-02 00:40,54.4,26.0,48.6,MG/NM3,"13.7237,81.2412",fault
E20149,PL-02,2026-01-02 00:50,71.4,30.0,60.8,UG/M3,"14.2192,79.599", OK 
E20150,PL-01,2026-01-02 01:00,96.1,32.0,72.4,ug/m³,"12.8426,80.3097", maint 
E20151,PL-20,2026-01-02 01:10,68.0,28.6,51.4,UG/m3,"12.9956,80.8893", maint 
E20152,PL-13,2026-01-02 01:20,60.3,29.2,72.5,mg/Nm3,"14.3777,79.3277",ok
E20153,PL-09,2026-01-02 01:30,82.9,25.9,75.8,mg/Nm3,"13.2741,80.441", OK 
E20154,PL-04,2026-01-02 01:40,69.0,22.3,60.4,ug/m3,"12.9164,81.0422",ok 
E20155,PL-09,2026-01-02 01:50,94.7,28.0,44.7,mg/Nm3,"12.7139,80.866",ok
E20156,PL-10,2026-01-02 02:00,88.9,27.7,70.8,Ug/M3,"13.9705,80.9063",MAINT
E20157,PL-13,2026-01-02 02:10,76.8,,69.1,MG/NM3,"12.942,80.9196", OK 
E20158,PL-19,2026-01-02 02:20,93.5,28.3,65.4,mg/nm3,"13.4128,81.0275",Maint
E20159,PL-10,2026-01-02 02:30,76.4,35.2,85.7,ug/m³,"14.1427,79.6375", ok
E20160,PL-01,2026-01-02 02:40,107.0,19.6,53.1,ug/m3,"13.0878,80.1671",maintenance
E20161,PL-16,2026-01-02 02:50,101.5,23.0,72.6,MG/NM3,"13.5114,79.8515", maint 
E20162,PL-03,2026-01-02 03:00,122.8,24.5,-79.0,mg/nm3,"13.5195,81.2499",ok
E20163,PL-03,2026-01-02 03:10,93.0,29.8,897.4,MG/NM3,"12.8175,81.1141",Fault
E20164,PL-07,2026-01-02 03:20,102.8,33.8,104.6,mg/Nm3,"12.7262,79.0662",MAINTENANCE
E20165,PL-13,2026-01-02 03:30,113.0,39.1,55.8,Ug/M3,"13.8123,81.4278",maintenance
