Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon
E00001,PL-01,S-01,2456.6,01-03-2026 00:00,225.0,103.2,139.8,ug/m3,FAULT,"13.0835,80.27"
E00002,PL-01,S-02,4779.0,01-03-2026 00:00,59.3,115.4,< 5.0,µg/m³,OK,"13.0826,80.2717"
E00003,PL-02,S-01,4033.6,01-03-2026 00:00,168.0,6500.0,92.3,ug/m3,OK,"19.0769,72.8782"
E00004,PL-03,S-01,2920.6,28-02-2026 18:30 UTC,166.0,225.3,109.1,ug/m3,MAINT,"12.9711,77.5946"
E00005,PL-03,S-02,4232.8,01-03-2026 00:00,155.1,66.3,185.5,ug/m3,MAINT,"12.9726,77.5957"
E00006,PL-03,S-03,3689.3,01-03-2026 00:00,127.1,< 5.0,208.5,ug/m3,OFFLINE,"12.9725,77.5944"
E00007,LOC-DEL-01,A-01,0.0,28-02-2026 18:30 UTC,187.3,94.4,285.6,ug/m3,offline,"28.6136,77.2088"
E00008,LOC-DEL-02,A-02,,01-03-2026 00:00,54.0,81.0,208.3,ug/m3,FAULT,"28.6205,77.2148"
E00009,LOC-MUM-01,A-01,0.0,01-03-2026 00:00,117.1,124.2,-9.6,µg/m³,OFFLINE,"19.0761,72.8778"
E00010,LOC-BLR-01,A-01,NULL,01-03-2026 00:00,152.6,178.2,< 2.0,ug/m3,OK,"12.9722,77.5955"
E00011,PL-01,S-01,3550.4,01-03-2026 00:15,-2.4,145.2,-5.2,ug/m3,OK,"13.0832,80.27"
E00012,PL-01,S-02,2800.8,01-03-2026 00:15,<2.0,-11.3,130.7,ug/m3,FAULT,"13.083,80.2705"
E00014,PL-03,S-01,2217.6,01-03-2026 00:15,173.6,47.5,120.2,ug/m3,maintenance,"12.9721,77.5948"
E00015,PL-03,S-02,3094.2,01-03-2026 00:15,73.8,37.8,72.1,mg/Nm3,OK,"12.9711,77.5959"
E00016,PL-03,S-03,3292.8,01-03-2026 00:15,104.8,62.7,205.0,ug/m3, ok ,"12.9708,77.594"
E00018,LOC-DEL-02,A-02,0,01-03-2026 00:15,208.2,107.6,6500.0,ug/m3,  MAINT ,"28.6196,77.2146"
E00019,LOC-MUM-01,A-01,,28-02-2026 24:15,114.2,202.7,124.0,ug/m3,OK,"19.0765,72.8779"
E00020,LOC-BLR-01,A-01,0.0,01-03-2026 00:15,148.3,153.3,9999.0,ug/m3,OK,"77.5946,12.9716"
E00021,PL-01,S-01,2674.6,01-03-2026 00:30,107.6,243.2,90.0,ug/m3,OK,"13.0826,80.2708"
E00022,PL-01,S-02,2862.2,01-03-2026 00:30,103.8,-2.0,58.9,ug/m3,OK,"13.0837,80.2721"
E00023,PL-02,S-01,3586.4,01-03-2026 00:30,109.8,119.8,82.4,ug/m3,MAINT,"19.076,72.8776"
E00024,PL-03,S-01,3338.3,01-03-2026 00:30,100.7,152.2,76.3,mg/Nm3,OK,"12.9718,77.5943"
E00025,PL-03,S-02,3043.1,01-03-2026 00:30,141.2,159.0,183.9,ug/m3,ok ,"12.9717,77.5953"
E00027,LOC-DEL-01,A-01,NULL,01-03-2026 00:30,249.3,<2.0,143.8,ug/m3,MAINT,"28.6146,77.2086"
E00028,LOC-DEL-02,A-02,,28-02-2026 19:00 UTC,146.6,88.9,< 2.0,ug/m3,FAULT,"28.62,77.2154"
E00029,LOC-MUM-01,A-01,NULL,01-03-2026 00:30,225.4,75.9,141.9,mg/Nm3,maintenance,"19.0765,72.8774"
E00030,LOC-BLR-01,A-01,0.0,01-03-2026 00:30,97.5,131.1,-9.1,ug/m3,error,"12.9711,77.5946"
E00031,PL-01,S-01,2340.9,01-03-2026 00:45,167.4,BDL,<5.0,ug/m3,OFFLINE,"13.082,80.2713"
E00033,PL-02,S-01,1190.0,01-03-2026 00:45,70.6,219.7,146.4,ug/m3,  OK  ,"19.075,72.8786"
E00034,PL-03,S-01,3212.2,01-03-2026 00:45,<5.0,62.9,157.9,ug/m3,OK,"12.9719,77.595"
E00035,PL-03,S-02,1777.5,01-03-2026 00:45,131.5,140.3,157.9,ug/m3,FAULT,"12.9724,77.5959"
E00036,PL-03,S-03,2337.3,01-03-2026 00:45,143.7,137.6,74.1,ug/m3,FAULT,"12.9726,77.5943"
E00037,LOC-DEL-01,A-01,,01-03-2026 00:45,140.6,152.2,129.6,ug/m3, Ok,"28.6133,77.2084"
E00038,LOC-DEL-02,A-02,,01-03-2026 00:45,96.8,15.0,205.9,ug/m3,FAULT,"28.6209,77.2154"
E00039,LOC-MUM-01,A-01,0.0,01-03-2026 00:45,114.7,63.2,250.2,ug/m3, ok ,"19.076,72.8782"
E00040,LOC-BLR-01,A-01,,01-03-2026 00:45,190.9,154.3,70.7,ug/m3,FAULT,"12.9708,77.5945"
E00041,PL-01,S-01,3867.7,01-03-2026 01:00,174.7,-7.5,136.8,ug/m3,  OK  ,"13.0828,80.2714"
E00042,PL-01,S-02,3625.4,01-03-2026 01:00,8500.0,77.8,151.5,ug/m3, fault ,"13.0827,80.2719"
E00043,PL-02,S-01,3302.5,01-03-2026 01:00,182.0,196.2,185.7,ug/m3,MAINT,"19.0764,72.8785"
E00044,PL-03,S-01,1496.5,28-02-2026 24:00,146.1,62.9,140.8,ug/m3, ok ,"12.9717,77.5954"
