Plant_ID,Stack_ID,TS,Source_Type,Sector,PM2.5,SO2,NOx,Unit,Status,Latitude,Longitude,AQI_Overall,AQI_Category,Any_Exceedance,Hour,DayOfWeek
LOC-BLR-01,A-01,2025-01-01 00:00:00,Ambient,City,128.6,198.1,125.7,ug/m3,OK,12.97,77.6,307.5,Very Poor,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:15:00,Ambient,City,273.8,275.7,267.0,ug/m3,FAULT,12.97,77.6,500.0,Severe,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:30:00,Ambient,City,34.4,128.6,102.6,ug/m3,OK,12.97,77.59,123.3,Moderate,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 00:45:00,Ambient,City,119.9,,73.4,ug/m3,OK,12.97,77.6,299.7,Poor,True,0.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:00:00,Ambient,City,52.8,136.2,110.6,ug/m3,MAINT,12.97,77.59,131.2,Moderate,True,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:15:00,Ambient,City,150.0,138.8,0.8,ug/m3,FAULT,12.97,77.59,323.8,Very Poor,True,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:30:00,Ambient,City,207.6,67.3,267.0,ug/m3,MAINT,12.97,77.59,367.7,Very Poor,True,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 01:45:00,Ambient,City,,127.6,105.7,ug/m3,OK,12.97,77.6,126.4,Moderate,True,1.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:15:00,Ambient,City,261.4,71.7,140.5,ug/m3,FAULT,12.97,77.59,500.0,Severe,True,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:30:00,Ambient,City,82.8,140.5,267.0,ug/m3,MAINT,12.97,77.59,287.1,Poor,True,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 02:45:00,Ambient,City,188.3,124.9,199.6,ug/m3,OK,12.97,77.59,353.0,Very Poor,True,2.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:00:00,Ambient,City,,104.0,138.4,ug/m3,OK,12.97,77.59,158.8,Moderate,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:15:00,Ambient,City,14.8,135.8,75.2,ug/m3,MAINT,12.97,77.6,119.4,Moderate,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:30:00,Ambient,City,147.3,275.7,109.6,ug/m3,OK,12.97,77.6,321.7,Very Poor,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 03:45:00,Ambient,City,232.6,,96.7,ug/m3,OK,12.97,77.59,386.7,Very Poor,True,3.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 04:00:00,Ambient,City,271.0,184.2,,ug/m3,OK,12.97,77.59,500.0,Severe,True,4.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 04:15:00,Ambient,City,60.2,50.7,14.8,ug/m3,OK,12.97,77.6,101.3,Moderate,True,4.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 04:30:00,Ambient,City,143.9,100.8,127.6,ug/m3,MAINT,12.97,77.6,319.1,Very Poor,True,4.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 04:45:00,Ambient,City,138.5,283.5,224.8,ug/m3,OK,12.97,77.6,315.0,Very Poor,True,4.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 05:00:00,Ambient,City,499.8,275.7,267.0,ug/m3,MAINT,12.97,77.6,500.0,Severe,True,5.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 05:15:00,Ambient,City,108.1,,159.4,ug/m3,FAULT,12.97,77.6,260.6,Poor,True,5.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 05:30:00,Ambient,City,0.3,,182.0,ug/m3,OK,12.97,77.6,202.9,Poor,True,5.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 05:45:00,Ambient,City,273.8,275.7,267.0,ug/m3,OK,12.97,77.59,500.0,Severe,True,5.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 06:00:00,Ambient,City,132.5,125.5,41.3,ug/m3,MAINT,12.97,77.59,310.5,Very Poor,True,6.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 06:15:00,Ambient,City,156.0,208.5,176.8,ug/m3,FAULT,12.97,77.59,328.4,Very Poor,True,6.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 07:00:00,Ambient,City,273.8,275.7,267.0,ug/m3,MAINT,12.97,77.59,500.0,Severe,True,7.0,Wednesday
LOC-BLR-01,A-01,2025-01-01 07:15:00,Ambient,City,103.0,262.6,104.1,ug/m3,FAULT,12.97,77.59,243.7,Poor,True,7.0,Wednesday
