Plant_ID,Date,PM25_Avg,SO2_Avg,NOx_Avg,Readings,Exceedances,AQI_Avg
PL-01,2025-01-01,155.98,176.47,168.25,166,87,318.3
PL-01,2025-01-02,140.4,145.31,149.8,175,79,301.48
PL-01,2025-01-03,143.88,153.89,134.16,178,87,307.57
PL-01,2025-01-04,140.56,137.06,169.35,176,79,294.3
PL-01,2025-01-05,153.64,185.19,192.32,177,89,316.41
PL-01,2025-01-06,139.55,130.79,147.85,175,74,290.42
PL-01,2025-01-07,144.6,129.3,169.54,178,82,302.67
PL-01,2025-01-08,141.11,156.73,152.59,175,84,298.51
PL-01,2025-01-09,128.49,126.25,126.88,180,75,282.6
PL-01,2025-01-10,140.25,147.84,134.16,175,76,292.01
PL-01,2025-01-11,150.9,148.37,155.45,179,90,299.34
PL-01,2025-01-12,150.28,143.24,135.65,177,93,306.1
PL-01,2025-01-13,130.51,148.9,139.77,176,75,288.94
PL-01,2025-01-14,143.04,131.95,142.68,177,86,305.11
PL-01,2025-01-15,150.92,135.9,148.08,174,85,307.71
PL-01,2025-01-16,139.7,148.41,138.88,175,84,295.45
PL-01,2025-01-17,142.79,140.5,146.83,180,91,300.94
PL-01,2025-01-18,142.55,154.51,151.16,181,101,308.28
PL-01,2025-01-19,163.83,148.41,138.01,180,96,311.11
PL-01,2025-01-20,135.87,145.99,165.01,172,77,289.55
PL-01,2025-01-21,136.31,158.34,143.34,179,83,291.72
PL-01,2025-01-22,135.08,138.35,133.02,174,76,294.66
PL-01,2025-01-23,154.92,147.51,146.74,176,86,305.32
PL-01,2025-01-24,148.42,150.4,164.85,177,88,297.87
PL-01,2025-01-25,132.49,136.28,156.0,173,68,292.57
PL-01,2025-01-26,137.32,161.57,162.81,179,77,291.26
PL-01,2025-01-27,125.26,129.89,136.42,181,77,282.98
PL-01,2025-01-28,140.6,135.74,137.77,173,74,294.72
PL-01,2025-01-29,146.15,143.65,135.19,178,91,304.58
PL-01,2025-01-30,131.37,169.92,128.92,176,73,290.44
PL-02,2025-01-01,153.71,159.27,126.58,88,50,304.1
PL-02,2025-01-02,152.76,135.05,124.04,85,41,304.69
PL-02,2025-01-03,120.89,122.57,132.48,85,29,275.97
PL-02,2025-01-04,152.96,166.37,128.07,83,46,303.86
PL-02,2025-01-05,117.65,114.71,123.92,82,28,272.97
PL-02,2025-01-06,139.23,157.96,158.05,84,36,288.7
PL-02,2025-01-07,126.2,118.58,119.17,84,30,285.75
PL-02,2025-01-08,122.12,133.33,129.62,89,37,279.79
PL-02,2025-01-09,127.39,158.14,128.36,84,35,282.29
PL-02,2025-01-10,126.31,123.23,133.01,88,29,285.48
PL-02,2025-01-11,141.68,144.86,124.79,93,44,300.98
PL-02,2025-01-12,129.13,140.32,173.13,85,36,287.8
PL-02,2025-01-13,136.21,237.74,144.27,87,35,287.27
PL-02,2025-01-14,142.01,180.04,132.23,83,37,289.29
PL-02,2025-01-15,126.26,138.38,123.4,87,38,278.82
PL-02,2025-01-16,145.26,129.57,111.26,84,39,289.23
PL-02,2025-01-17,132.35,162.82,133.78,89,35,280.88
PL-02,2025-01-18,130.62,167.91,129.41,85,36,286.67
PL-02,2025-01-19,121.17,148.5,157.51,84,33,272.05
PL-02,2025-01-20,149.65,140.42,133.02,89,44,304.9
PL-02,2025-01-21,134.0,166.06,140.92,87,40,297.19
PL-02,2025-01-22,129.22,119.44,185.88,89,33,278.38
PL-02,2025-01-23,135.6,141.51,155.74,91,37,296.29
PL-02,2025-01-24,133.14,168.12,136.88,88,42,294.37
PL-02,2025-01-25,136.56,134.71,199.36,89,41,301.66
PL-02,2025-01-26,145.68,128.91,147.95,87,40,306.81
PL-02,2025-01-27,139.64,130.76,167.67,90,36,293.31
PL-02,2025-01-28,154.22,226.77,205.7,87,45,311.06
PL-02,2025-01-29,116.77,124.92,125.33,94,35,267.15
PL-02,2025-01-30,132.35,134.37,119.2,88,37,284.15
PL-03,2025-01-01,158.94,148.07,135.2,262,125,307.63
PL-03,2025-01-02,134.36,160.08,131.05,261,117,291.3
PL-03,2025-01-03,131.78,123.2,128.77,261,109,287.15
PL-03,2025-01-04,139.62,154.49,139.4,275,117,291.14
PL-03,2025-01-05,134.86,145.09,141.27,267,115,294.76
PL-03,2025-01-06,135.69,166.64,134.02,263,102,282.61
PL-03,2025-01-07,172.05,154.25,138.17,267,130,301.61
PL-03,2025-01-08,141.75,152.68,147.94,258,112,290.53
PL-03,2025-01-09,146.77,138.95,143.21,266,112,289.74
PL-03,2025-01-10,150.22,139.3,140.5,260,131,301.57
PL-03,2025-01-11,131.04,139.49,142.59,263,110,286.95
PL-03,2025-01-12,137.69,137.45,127.58,273,109,285.92
PL-03,2025-01-13,170.5,155.1,145.17,269,130,307.53
PL-03,2025-01-14,133.5,144.78,151.71,260,105,283.31
PL-03,2025-01-15,144.14,181.32,141.19,266,130,309.55
PL-03,2025-01-16,144.08,148.75,133.09,257,116,304.6
PL-03,2025-01-17,142.86,150.35,128.25,268,115,289.27
PL-03,2025-01-18,139.34,153.71,163.14,266,125,291.04
PL-03,2025-01-19,143.72,139.63,136.96,261,108,293.31
PL-03,2025-01-20,129.71,134.45,139.07,270,107,284.71
PL-03,2025-01-21,155.77,142.01,144.73,246,110,298.53
PL-03,2025-01-22,158.17,151.46,154.5,257,136,307.69
PL-03,2025-01-23,148.45,141.9,139.8,268,120,288.22
PL-03,2025-01-24,156.91,164.42,133.11,264,117,293.68
PL-03,2025-01-25,135.41,141.2,153.86,259,121,293.38
PL-03,2025-01-26,162.46,139.54,154.63,262,101,287.95
PL-03,2025-01-27,155.01,153.51,175.27,268,121,297.59
PL-03,2025-01-28,164.11,172.84,149.16,258,139,307.4
PL-03,2025-01-29,144.92,137.75,150.95,264,123,297.73
PL-03,2025-01-30,146.65,158.77,140.85,262,120,297.08
