Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Source_Type,PM25_Filled,SO2_Filled,NOx_Filled,Exceedance_Flag,Sector,Latitude,Longitude,Exceed_PM25,Exceed_SO2,Exceed_NOx,Any_Exceedance,AQI_PM25,AQI_SO2,AQI_NOx,AQI_Overall,AQI_Category,Load_PM25_kg_day,Load_SO2_kg_day,Load_NOx_kg_day,PM25_24h_avg,PM25_24h_p95,SO2_24h_avg,SO2_24h_p95,NOx_24h_avg,NOx_24h_p95,Wind_Contribution_Score,Health_Risk_Score,Date,Hour,DayOfWeek,Location_ID,Wind_Speed_kmh,Wind_Dir_deg,Temp_C,Humidity_RH
E00001,PL-01,S-01,2033.5,2025-01-01 00:00:00,166.47,116.47,100.88,ug/m3,FAULT,Stack,False,False,False,EXCEEDANCE,Cement,13.083,80.2702,True,False,False,True,336.3,113.0,121.6,336.3,Very Poor,0.00812440188,0.00568420188,0.0049233475199999994,,,,,,,0.0,84.075,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00002,PL-01,S-02,3377.9,2025-01-01 00:00:00,0.82,95.92,32.04,ug/m3,MAINT,Stack,False,False,False,OK,Cement,13.0839,80.2721,False,False,False,False,1.4,106.2,40.0,106.2,Moderate,6.647707199999999e-05,0.007776196032,0.0025974699840000002,,,,,,,0.0,0.35,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00003,PL-02,S-01,3798.4,2025-01-01 00:00:00,273.8,160.38,267.0,ug/m3,FAULT,Stack,False,True,False,EXCEEDANCE,Steel,19.0763,72.8777,True,False,False,True,500.0,127.5,287.1,500.0,Severe,0.024960046080000003,0.014620497408,0.024340147200000002,,,,,,,0.0,125.0,2025-01-01,0.0,Wednesday,LOC-MUM-01,6.1,263.0,15.9,84.0
E00004,PL-03,S-01,3121.2,2025-01-01 00:00:00,106.36,133.0,90.91,ug/m3,OK,Stack,False,False,False,OK,Power,12.9719,77.5955,False,False,False,False,254.8,118.5,111.7,254.8,Poor,0.007967299968,0.009962870399999999,0.006809959007999999,,,,,,,0.0,63.7,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00005,PL-03,S-02,3700.5,2025-01-01 00:00:00,273.8,275.7,267.0,ug/m3,FAULT,Stack,False,False,False,EXCEEDANCE,Power,12.9722,77.5941,True,True,False,True,500.0,165.6,287.1,500.0,Severe,0.024316725600000002,0.024485468399999998,0.023712804,,,,,,,0.0,125.0,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00006,PL-03,S-03,1117.8,2025-01-01 00:00:00,195.45,48.12,110.5,ug/m3,FAULT,Stack,False,False,False,EXCEEDANCE,Power,12.9726,77.5939,True,False,False,True,358.4,60.8,131.1,358.4,Very Poor,0.005243376239999999,0.0012909248639999997,0.0029644055999999996,,,,,,,0.0,89.6,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00007,LOC-DEL-01,A-01,0.0,2025-01-01 00:00:00,111.8,206.9,132.7,ug/m3,FAULT,Ambient,False,False,False,EXCEEDANCE,City,28.6138,77.2087,True,True,True,True,272.8,142.9,153.1,272.8,Poor,,,,,,,,,,0.866,68.2,2025-01-01,0.0,Wednesday,LOC-DEL-01,4.1,338.0,2.7,84.3
E00008,LOC-DEL-02,A-02,,2025-01-01 00:00:00,189.7,160.81,148.69,ug/m3,OK,Ambient,False,False,False,EXCEEDANCE,City,28.6209,77.2149,True,True,True,True,354.0,127.6,169.0,354.0,Very Poor,,,,,,,,,,0.866,88.5,2025-01-01,0.0,Wednesday,LOC-DEL-01,4.1,338.0,2.7,84.3
E00009,LOC-MUM-01,A-01,0.0,2025-01-01 00:00:00,192.75,78.53,122.16,ug/m3,FAULT,Ambient,False,False,False,EXCEEDANCE,City,19.0757,72.877,True,False,True,True,356.4,98.2,142.7,356.4,Very Poor,,,,,,,,,,0.609,89.1,2025-01-01,0.0,Wednesday,LOC-MUM-01,6.1,263.0,15.9,84.0
E00010,LOC-BLR-01,A-01,,2025-01-01 00:00:00,128.6,198.1,125.7,ug/m3,OK,Ambient,False,False,False,EXCEEDANCE,City,12.9717,77.5954,True,True,True,True,307.5,140.0,146.2,307.5,Very Poor,,,,,,,,,,0.789,76.875,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00011,,,,,,,,ug/m3,GAP_FILLED,Unknown,False,False,False,OK,,,,False,False,False,False,,,,,Unknown,,,,,,,,,,0.0,,,,,,,,,
E00012,PL-01,S-02,4877.2,2025-01-01 00:15:00,134.9,107.65,119.69,ug/m3,MAINT,Stack,False,False,False,OK,Cement,13.0821,80.2716,False,False,False,False,312.3,110.1,140.2,312.3,Very Poor,0.01579042272,0.012600733919999997,0.014010049632,,,,,,,0.0,78.075,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00013,,,,,,,,ug/m3,GAP_FILLED,Unknown,False,False,False,OK,,,,False,False,False,False,,,,,Unknown,,,,,,,,,,0.0,,,,,,,,,
E00014,PL-03,S-01,1537.3,2025-01-01 00:15:00,92.91,185.55,267.0,ug/m3,MAINT,Stack,False,False,False,OK,Power,12.9722,77.5944,False,False,False,False,210.3,135.8,287.1,287.1,Poor,0.0034279330319999996,0.00684590436,0.009851018399999998,,,,,,,0.0,52.575,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00015,PL-03,S-02,2640.2,2025-01-01 00:15:00,70.0,93.2,110.0,ug/m3,MAINT,Stack,False,False,False,OK,Power,12.9729,77.5953,False,False,False,False,133.8,105.3,130.6,133.8,Moderate,0.004435536,0.0059055993599999995,0.006970128,,,,,,,0.0,33.45,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00016,PL-03,S-03,4669.4,2025-01-01 00:15:00,170.4,185.35,82.48,ug/m3,FAULT,Stack,False,False,False,EXCEEDANCE,Power,12.9721,77.5956,True,False,False,True,339.3,135.7,103.4,339.3,Very Poor,0.019095978240000002,0.020771358959999996,0.009243170688,,,,,,,0.0,84.825,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
E00017,LOC-DEL-01,A-01,0.0,2025-01-01 00:15:00,188.6,130.5,20.2,ug/m3,OK,Ambient,False,False,False,EXCEEDANCE,City,28.6139,77.209,True,True,False,True,353.2,117.6,25.2,353.2,Very Poor,,,,,,,,,,0.866,88.3,2025-01-01,0.0,Wednesday,LOC-DEL-01,4.1,338.0,2.7,84.3
E00018,LOC-DEL-02,A-02,,2025-01-01 00:15:00,231.75,91.52,146.57,ug/m3,MAINT,Ambient,True,False,False,EXCEEDANCE,City,28.6193,77.2145,True,True,True,True,386.1,104.8,166.9,386.1,Very Poor,,,,,,,,,,0.866,96.525,2025-01-01,0.0,Wednesday,LOC-DEL-01,4.1,338.0,2.7,84.3
E00019,LOC-MUM-01,A-01,0.0,2025-01-01 00:15:00,174.12,119.9,101.96,ug/m3,OK,Ambient,False,False,False,EXCEEDANCE,City,19.0766,72.8775,True,True,True,True,342.2,114.1,122.7,342.2,Very Poor,,,,,,,,,,0.465,85.55,2025-01-01,0.0,Wednesday,LOC-MUM-01,6.1,263.0,15.9,84.0
E00020,LOC-BLR-01,A-01,0.0,2025-01-01 00:15:00,273.8,275.7,267.0,ug/m3,FAULT,Ambient,False,False,False,EXCEEDANCE,City,12.9706,77.5953,True,True,True,True,500.0,165.6,287.1,500.0,Severe,,,,,,,,,,0.983,125.0,2025-01-01,0.0,Wednesday,LOC-BLR-01,1.9,187.0,10.5,65.6
